tweet_id,tweet_text,class_label
1192517071348699136,Mañana viernes no puedes perderte el gran acto de cierre de campaña en Madrid A las h en el Pabellón de IFEMA Con Kiko Veneno y OFunkillo en concierto y la intervención de Pablo_Iglesias_ AdaColau Irene_Montero_ agarzon Te esperamos,No
1220987059701190656,DIRECTO Reyes Maroto Si nos centramos en las sinergias la legislatura al menos en la parte del gobierno va a funcionar muy bien Además los ministros y ministras nos llevamos muy bien,No
1226786513226280961,JonInarritu EHBilduCongreso JonInarritu diputado EHBilduCongreso Que los partidos catalanes nacionalistas encuentren un Mínimo Común Denominador es difícil Sobre todo si se intentan sembrar la discordia y si la represión provoca un adelanto electoral,No
1217566329823252481,tve_tve vuelve a quedar en evidencia Desplaza al minuto la denuncia del CGPJ ante las críticas de Iglesias y habla de diferencias Exigimos al responsable de edición del telediario explicaciones y a Sánchez que deje de utilizar rtve a su antojo Enric_Hernandez,Yes
1172059020095610881,El nuevo curso escolar en Andalucía comienza con El mayor presupuesto de su historia nuevos profesores más que nunca nuevos funcionarios que antes eran interinos Son hechos la oposición miente cuando dice que estamos desmantelando la educación pública,Yes
1226461787635245056,Pernando Barrena En pueden abrirse escenarios realmente muy complicados ehbildu,No
1218228024249896966,El PINParental no solo no me parece polémico sino de auténtico sentido común Impecable aquí ivanedlm explicando el concepto en un minuto,No
1219218559534059523,DIRECTO Santi_ABASCAL presidente de vox_es anuncia la iniciativa parlamentaria para ilegalizar a partidos que pongan en peligro la Constitución y la unidad de España,No
1217829210808557569,Muy bien explicado lo del pin rojo por MonederoJC Algunos llevamos años usándolo como símbolo antifascista y seguiremos haciéndolo,No
1226480356955693056,El PP se equivoca total y completamente excluyendo a VOX en las mesas del Congreso El PP hizo lo mismo en la Asamblea de Madrid pactando con PSOE Cs Más Madrid y Podemos contra VOX Que el PP no eche la culpa al PSOE porque en la C de Madrid también prefirió a la izquierda,Yes
1259920819834191872,Si algo define a CruzRojaEsp es que siempre está ahí cuando más se le necesita CRUZROJARESPONDE ha movilizado a más de voluntarios durante el Hoy hemos ido a su sede a darles las gracias junto a SM La Reina a quien agradezco su preocupación por Madrid,Yes
1166286413777780736,El funeral por el gudari José Moreno se celebrará mañana miércoles a las horas en la iglesia Santa María de Portugalete,No
1226086367710580737,Hoy populares se ha unido a PSOE PODEMOS y ERC Este pacto parece hecho en la Cárcel de Lledoners Es una conjura contra la Sanidad ya que el PP ha pactado con aquellos que quieren desmembrarla y que quieren destrozar el MIR vox_es es la única y verdadera alternativa,Yes
1174075842445623297,A partir de las adelgadoRne entrevistará en a la portavoz de JuntsXCat en el Congreso LauraBorras Escúchala aquí,No
1219901185437708288,La educación no es un arma política JuanMarin_Cs El PSOE es un maestro de la demagogia cuando hay que hablar de financiación y de un Pacto Nacional por la Educación intentan desviar la atención LosDesayunos,No
1220064147389337600,Llegamos al Gobierno para mejorar la vida de la gente En su segunda semana el Gobierno de coalición ha pactado con patronal y sindicatos la segunda subida del SMI en meses Estamos cumpliendo Sí se puede,No
1168848163387654144,El Gobierno reconoce a ensanro que en materia humanitaria solo en el total de lo destruido yo confiscado por Israel en donde consta participación española asciende a euros,Yes
1218673618613346305,gabrielrufian El pin parental es un intento más de la extrema derecha para volver a tiempos pretéritos,No
1174258051479756800,Revisión del caso Altsasu en el Tribunal Supremo La defensa pide la absolución de los acusados y que se elimine el agravante de discriminación que ha hecho que las penas sean de hasta años Más de días en la cárcel EnJake Xlapitz,Yes
1191747000406073345,Jugar a encuentra las diferencias cuando se trata de VOX y del PP es imposible el juez Serrano obtuvo un préstamo público de millones que jamás devolvió para una fábrica que nunca terminó,Yes
1265350762344955906,Hemos movilizado a la comunidad internacional para que preste más ayuda a millones de venezolanos desplazados y a los países de América Latina que los acogen Los donantes internacionales han suscrito compromisos por un total de millones Gracias,Yes
1288370638030282752,No es de recibo que aquellos que han atentado contra la unidad de España gocen de beneficios penitenciarios Las autonomías y las cesiones de competencias son el más firme aliado de los que buscan fractura la unidad de la Nación,No
1186723110587904000,Recibimiento de CAMPEONES Así fue la acogida para nuestros héroes en los Global Games disputados en Australia nada más aterrizar en Madrid medallas ha logrado el TeamESP en este Mundial para personas con discapacidad intelectual,No
1268199989358059521,Coronavirus La Generalitat suspende las ayudas para pagar el alquiler ante la avalancha de solicitudes Cataluña EL PAÍS,Yes
1301829382651154432,Vídeo reunión con ANETRA Asociación Nacional Empresarios Transportes en Autocares formada por más de empresas Estamos heridos de muerte MotivosParaLaMoción PatriciadlHeras VOX_Congreso hemos registrado iniciativas para proteger a más de trabajadores directos,Yes
1229887345958232066,Ya hay más potencia eólica que nuclear en el Viejo Continente Europa supera el listón de los megavatios de potencia eólica instalada WindEurope aeeolica APPA_Renovables eolica renovables vía ERenovables,Yes
1184085961854111745,El PSOE demostró su apoyo a Torra durante la moción PorLaConvivencia Lroldansu Cs sigue siendo el referente incontestable del Constitucionalismo en Cataluña No podemos dejar el futuro de millones de catalanes en manos de Torra ActualidadCs,No
1266416479911776270,Borrás vox_es ha venido a dar voz a sectores que nunca antes han sido escuchados VOX_Congreso,No
1281991357389844485,Fue histórico inolvidable maravilloso muchos dicen que será irrepetible Un país unido por el Deporte y por los colores de su banderatan solo hace diez años Ojalá todo se vuelva a repetirESPAÑA campeonesdelmundo,No
1220350394049667072,Exactamente expresident No ha cambiado nada No eras presidente ayer y sigues sin serlo hoy A ver si se entera Sánchez y suspende vuestra reunión fake,No
1218137295188123648,Pedro Sánchez ha dado el visto bueno a la apertura de las embajadas catalanas en Argentina México y Túnez Empiezan las cesiones a sus socios separatistas Incrementan gasto en sus majaderías despreciando la urgencia de las política sociales,Yes
1279788972470870018,Torra se cargó en horas días de la fase y los de la fase en Lleida Torra tiene las competencias de trabajo Torra tiene las competencias en sanidad Torra tiene las competencias sobre los Mossos Pero les ha faltado tiempo para echar la culpa al gobierno de España,Yes
