tweet_id,class_label
1384982948093513728,Yes
1396570173415563274,No
1478318628076466177,Yes
1350517273765801984,Yes
1478363461184901128,Yes
1410645466317049861,Yes
1008883640259039232,Yes
1405209872149397506,Yes
1477257409722785793,Yes
1482617444627845120,Yes
1394648548864577544,Yes
1373688011934863367,Yes
1485579998081728517,Yes
1555639591767613444,Yes
1478789215341232140,Yes
1491445579624624129,Yes
1483908692001103873,Yes
1240713996342366209,Yes
1362817406805168134,Yes
1222550071771910155,Yes
1397853523614867457,Yes
1503708590850207748,Yes
1023911926491951104,Yes
1489007638537031695,Yes
1367162834006773761,Yes
1478102598817390608,Yes
1486333880131067911,Yes
1497129848858370059,Yes
1505944748519002120,Yes
1430995995941298179,Yes
1483123694125920260,Yes
1481930790120345600,Yes
1384509943554920450,Yes
1518990791083020289,Yes
1484088361870630915,Yes
1499008139512922116,Yes
1419342851759132672,Yes
1475342139274014722,Yes
1480812211471847424,Yes
1481556097509085184,Yes
1481667468464689155,Yes
1487487560058380288,Yes
1477204499244756992,Yes
1478112280172716034,Yes
1477240176179089410,Yes
1482443864443076615,Yes
1379821457899929601,Yes
1559196584507850754,Yes
1513701850314330112,Yes
1528061346142486528,Yes
1472314775275192332,Yes
1438513574574366736,Yes
1435247391117094914,Yes
1506713091513499659,Yes
1484911421313929224,Yes
1238730613190004736,Yes
1527213285413638149,No
1527692949500436481,Yes
1480968220064505867,Yes
1417093018914590724,Yes
889201286792572935,Yes
1432440346139631623,Yes
1482814595530170369,Yes
1529717150415572992,Yes
1518991465061441536,No
1259463587321479168,Yes
1394770098737516548,Yes
1522391934068736000,Yes
1430939853328470017,Yes
1405208251558473738,Yes
1477625957829730304,Yes
1164968170697965568,Yes
1482829410390716416,Yes
1529886412757250072,Yes
1512587405504753674,Yes
1480655654184525829,Yes
1485194458325000194,Yes
1254235741955244033,Yes
1539360427058073606,Yes
1524405571658522625,Yes
1515652657423261698,Yes
1529016767703547906,Yes
1478061396352974848,Yes
1528774730056081408,Yes
1491260405871935494,Yes
1484585092718776322,Yes
1499048698411630592,Yes
1527952343639244800,Yes
1480816583727624195,Yes
1542834689815322624,Yes
1456551615096307717,Yes
1481176306163331075,Yes
1482432995961319431,Yes
1479771498319646728,Yes
1563548532266921985,Yes
1481566726156341248,Yes
1484981165412999170,Yes
1488192449625341956,Yes
1491025298187436033,Yes
1480822507280154631,Yes
1476480239547170817,Yes
1518996438247686144,Yes
1484514831160037376,Yes
1477668944974532611,Yes
1500078368439611393,Yes
1528308578225999873,Yes
1486636584871116806,Yes
1495046638561378310,Yes
1488547907821355014,Yes
1553002048160993281,Yes
1521427236959703040,Yes
1478424283059830792,Yes
1487523600328450048,No
1482640441736667139,Yes
1500776336247468032,Yes
1273202762982076416,Yes
1490738433945391104,Yes
1488958382363058179,Yes
1368560852287250440,Yes
1242460836670644225,Yes
1484135482728529923,Yes
1483863367827832835,Yes
1517413814198841347,Yes
1494403209196191752,Yes
1263507344459096064,Yes
1484143967658819587,Yes
1477059596254646280,Yes
1395221595627704320,Yes
1531275743770058763,Yes
1477270448006180866,Yes
1542496793690341377,No
1500927431938609158,No
1506734874677362702,Yes
1485354082529431556,Yes
1528811316529487873,Yes
1480685362599108608,Yes
1512113041961365518,Yes
1541367672616648704,Yes
1445448204955181061,Yes
1543935153877032961,Yes
1529540972836700161,Yes
1547223053251256322,Yes
1486640501218496515,Yes
1488792420292743171,Yes
1530832197376167936,Yes
1405917851538558980,Yes
1483868237855133702,Yes
1472528309011599361,Yes
1480595601372950536,No
1487744978105290755,Yes
1479162760038658053,Yes
1483347486978809863,Yes
1477635928629915657,Yes
1431941171694157827,Yes
1486426847080599555,Yes
1498420760301510662,Yes
1482264073538609154,Yes
1484245342342172677,Yes
1478728039756349441,Yes
1523251141127307265,Yes
1337293437788413953,Yes
1523314280321351680,Yes
1468173445309640707,Yes
1480960607629324288,Yes
1532885452419637249,Yes
1488265296100134922,Yes
1505945384065146882,Yes
1479022427623493633,Yes
1267927980661186560,Yes
1523379989638520834,Yes
1499410845188730888,Yes
1536386168044003329,Yes
1491080999543128065,Yes
1527953369163354114,Yes
1477330523743784963,Yes
1483091744052809730,Yes
1488240683035107328,Yes
1482828054254829574,Yes
1499067007454617604,Yes
1485581302485106690,Yes
1482449591995928580,Yes
1503389242474573827,Yes
1488997358390108167,Yes
1556338845469364229,Yes
1550895289413795841,Yes
1480177188137750528,Yes
1477681641258733568,Yes
1521570259437817857,Yes
1488821092810690565,Yes
1488233206503591936,Yes
1422031030362456066,Yes
1379776312261410817,No
1527485923205652480,Yes
1489914954480328704,Yes
1483137041730703364,Yes
1560496467147620354,Yes
1522052092885622784,Yes
1491332926419914756,Yes
1527626496839282689,Yes
1536317783847358470,Yes
1530115243543826435,Yes
1499123431417303047,Yes
1477671767002996736,Yes
1479726505022443529,Yes
1521975700760186880,Yes
1486299673979760645,Yes
1484633097002008584,Yes
1486011200664219651,Yes
1485011492495896576,Yes
1241394579913478145,Yes
1537504678325493760,Yes
1484053023773138944,Yes
1536814161279307777,Yes
1550198231996551169,Yes
1406066638894604288,Yes
1481368162314731526,Yes
1479428196676349953,Yes
1524379426347171840,Yes
1485312326614110208,No
1493727248813281281,No
1487884595907502084,No
1505265296596258830,No
1529126601895645185,No
1523980045018091521,No
1548964772724498433,No
1487731349008044034,No
1480945532185059328,No
1488055788602109955,No
1485218750597111812,No
1482340884498759686,No
1479165876960210946,No
1221153969260711936,No
1485196633478418432,No
1477070434327801862,No
1487997070493552643,No
1484956152073015302,No
1558368363197472772,No
1484605614504427527,No
1552013171078094854,No
1479777768770613249,No
1478124166570295299,No
1528013938276896770,No
1480524852029272067,No
1502242358620045315,No
1478120111856828419,No
1510897351946387458,No
1482298295422701570,No
1503031407555358720,No
1481554035920367620,No
1505457080651689985,No
1490064955823083521,No
1478121066291765258,No
1486037198784847877,No
1482342327687467011,No
1483886408813142023,No
1454233099982753801,No
1538199036263649282,No
1550856266305753088,No
1487762518105677825,No
1476678229079568392,No
1542655675528101888,No
1499835689407586310,No
1487350823541784582,No
1491546716880973843,No
1395020061983875075,No
1489306220003565571,No
1486027914281984003,No
1479181364654186496,No
1507208604188909569,No
1515386363297865738,No
1530380625743597569,No
1494398567234088961,No
1488456340775358467,No
1487769257995870211,No
1511416360177442826,No
1507104979122896899,No
1473745647060897813,No
1487363000701001732,No
1562143886792970246,No
1542095666436005889,No
1491515305520242691,No
1495077353789218818,No
1502969489209573376,No
1504158348282900481,No
1519814964894179331,No
1527962306986053632,No
1524297953019674625,No
1529755705724612609,No
1481014631938281492,No
1526636144087207936,No
1559248291463929859,No
1476943121535668283,No
1538949960657420289,No
1486436519745310721,No
1523689509136732160,No
1474210992498298881,No
1476461059523371010,No
1476137039628230660,No
1482180551377305609,No
1507069064203710478,No
1518218985321422848,No
1476249104749678592,No
1485190574537953284,No
1497644446409650179,No
1486335615905927168,No
1515777724329172997,No
1477380722327437312,No
1378717268893446144,No
1490011135189434368,No
1493493248169549824,No
1478017972216156165,No
1488549428164239361,No
1499069712319275019,No
1488220413914189832,No
1551314789019811846,No
1494125325214785540,No
1506562876336705544,No
1490290594178076672,No
1511459416327045126,No
1487739848157016067,No
1556247145610715136,No
1482839549457932291,No
1559884098759528448,No
1476641424837943308,No
1375079887980138504,No
1490951184399880194,No
1528037050557112320,No
1471542287939342343,No
1479784952489152514,No
1485471605920833540,No
1493490459146084352,No
1536317918534828035,No
1488936313684385792,No
1525588084594823168,No
1478116863481626628,No
1487420981513752579,No
1530097977091575810,No
1492706673542242305,No
1479720400779100162,No
1560371126978633730,No
1523248846259642368,No
1563536871421972480,No
1553402624296292355,No
1489316536275902464,No
1536712540138442754,No
1552157183491596289,No
1501166948666781696,No
1488558817310822401,No
1484980071672782854,No
1479178162529574912,No
1479548058115444739,No
1492842302435438594,No
1541183345853403140,No
1241051208451788801,No
1537798179277742083,No
1479075517609521155,No
1489366037468483586,No
1483445507997544448,No
1494396990448353280,No
1485310756312731653,No
1494416570940076037,No
1522283834100051968,No
1481182641382694912,No
1561701995882467328,No
1492546892437278722,No
1520639402392883201,No
1478859975464300556,No
1526807553182679040,No
1491520728239325188,No
1479070098975600651,No
1337501787142688774,No
1477245339119898627,No
1479815174215417860,No
1485291780828536842,No
1483342529030500356,No
1545909101338697730,No
1482842822269100039,No
1491119408336764928,No
1527856160094707712,No
1555994286310703104,No
